type,objective,rewrite_prompt,explain_prompt
ADJECTIVE,abstract,Rewrite this text but do it using abstract tone,
ADJECTIVE,academic,Rewrite this text but do it using academic tone,
ADJECTIVE,accessible,Rewrite this text but do it using accessible tone,
ADJECTIVE,action-packed,Rewrite this text but do it using action-packed tone,
ADJECTIVE,adventurous,Rewrite this text but do it using adventurous tone,
ADJECTIVE,ambiguous,Rewrite this text but do it using ambiguous tone,
ADJECTIVE,amusing,Rewrite this text but do it using amusing tone,
ADJECTIVE,analytical,Rewrite this text but do it using analytical tone,
ADJECTIVE,artful,Rewrite this text but do it using artful tone,
ADJECTIVE,atmospheric,Rewrite this text but do it using atmospheric tone,
ADJECTIVE,authoritative,Rewrite this text but do it using authoritative tone,
ADJECTIVE,biting,Rewrite this text but do it using biting tone,
ADJECTIVE,bittersweet,Rewrite this text but do it using bittersweet tone,
ADJECTIVE,bold,Rewrite this text but do it using bold tone,
ADJECTIVE,breezy,Rewrite this text but do it using breezy tone,
ADJECTIVE,candid,Rewrite this text but do it using candid tone,
ADJECTIVE,cerebral,Rewrite this text but do it using cerebral tone,
ADJECTIVE,character-driven,Rewrite this text but do it using character-driven tone,
ADJECTIVE,charming,Rewrite this text but do it using charming tone,
ADJECTIVE,cinematic,Rewrite this text but do it using cinematic tone,
ADJECTIVE,classic,Rewrite this text but do it using classic tone,
ADJECTIVE,clever,Rewrite this text but do it using clever tone,
ADJECTIVE,colorful,Rewrite this text but do it using colorful tone,
ADJECTIVE,complex,Rewrite this text but do it using complex tone,
ADJECTIVE,concise,Rewrite this text but do it using concise tone,
ADJECTIVE,confessional,Rewrite this text but do it using confessional tone,
ADJECTIVE,contemplative,Rewrite this text but do it using contemplative tone,
ADJECTIVE,contemporary,Rewrite this text but do it using contemporary tone,
ADJECTIVE,convincing,Rewrite this text but do it using convincing tone,
ADJECTIVE,creative,Rewrite this text but do it using creative tone,
ADJECTIVE,critical,Rewrite this text but do it using critical tone,
ADJECTIVE,cryptic,Rewrite this text but do it using cryptic tone,
ADJECTIVE,cultured,Rewrite this text but do it using cultured tone,
ADJECTIVE,cutting-edge,Rewrite this text but do it using cutting-edge tone,
ADJECTIVE,dark,Rewrite this text but do it using dark tone,
ADJECTIVE,dazzling,Rewrite this text but do it using dazzling tone,
ADJECTIVE,defiant,Rewrite this text but do it using defiant tone,
ADJECTIVE,dense,Rewrite this text but do it using dense tone,
ADJECTIVE,descriptive,Rewrite this text but do it using descriptive tone,
ADJECTIVE,dialogic,Rewrite this text but do it using dialogic tone,
ADJECTIVE,direct,Rewrite this text but do it using direct tone,
ADJECTIVE,dramatic,Rewrite this text but do it using dramatic tone,
ADJECTIVE,dreamy,Rewrite this text but do it using dreamy tone,
ADJECTIVE,dynamic,Rewrite this text but do it using dynamic tone,
ADJECTIVE,earnest,Rewrite this text but do it using earnest tone,
ADJECTIVE,edgy,Rewrite this text but do it using edgy tone,
ADJECTIVE,elegant,Rewrite this text but do it using elegant tone,
ADJECTIVE,emotional,Rewrite this text but do it using emotional tone,
ADJECTIVE,enchanting,Rewrite this text but do it using enchanting tone,
ADJECTIVE,endearing,Rewrite this text but do it using endearing tone,
ADJECTIVE,engaging,Rewrite this text but do it using engaging tone,
ADJECTIVE,enlightening,Rewrite this text but do it using enlightening tone,
ADJECTIVE,entertaining,Rewrite this text but do it using entertaining tone,
ADJECTIVE,epic,Rewrite this text but do it using epic tone,
ADJECTIVE,esoteric,Rewrite this text but do it using esoteric tone,
ADJECTIVE,evocative,Rewrite this text but do it using evocative tone,
ADJECTIVE,experimental,Rewrite this text but do it using experimental tone,
ADJECTIVE,exquisite,Rewrite this text but do it using exquisite tone,
ADJECTIVE,fanciful,Rewrite this text but do it using fanciful tone,
ADJECTIVE,fantastic,Rewrite this text but do it using fantastic tone,
ADJECTIVE,fierce,Rewrite this text but do it using fierce tone,
ADJECTIVE,fluid,Rewrite this text but do it using fluid tone,
ADJECTIVE,forceful,Rewrite this text but do it using forceful tone,
ADJECTIVE,formal,Rewrite this text but do it using formal tone,
ADJECTIVE,free-flowing,Rewrite this text but do it using free-flowing tone,
ADJECTIVE,fresh,Rewrite this text but do it using fresh tone,
ADJECTIVE,frightening,Rewrite this text but do it using frightening tone,
ADJECTIVE,gritty,Rewrite this text but do it using gritty tone,
ADJECTIVE,haunting,Rewrite this text but do it using haunting tone,
ADJECTIVE,heartfelt,Rewrite this text but do it using heartfelt tone,
ADJECTIVE,high-spirited,Rewrite this text but do it using high-spirited tone,
